Catagory,Item,Serving_Size,Calories,Calories_Fat,Total_Fat,Total_Daily_Fat,Saturated_Fat,Saturated_Daily_Fat,Trans_Fat,Cholesterol,Cholestorol_Daily,Sodium,Sodium_Daily,Carbohydrates,Carbohydrates_Daily,Dietary_Fibre,Dietary_Fibre_Daily,Sugars,Protein,Vitamin_A,Vitamin_C,Calcium_Daily,Iron_Daily
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),340,130,15,23,5,22,0,30,11,780,33,37,12,1,6,8,14,4,0,10,10
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),260,70,8,13,4,18,0,40,14,700,29,30,10,1,6,7,16,4,2,10,10
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),330,130,15,23,5,22,0,35,11,730,30,34,11,1,5,3,14,2,0,10,10
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),250,70,8,13,4,18,0,45,14,650,27,27,9,1,5,2,16,2,2,10,10
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),360,180,20,30,5,27,0,40,13,810,34,32,11,1,5,3,15,2,0,10,10
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),280,120,13,20,5,22,0,45,16,720,30,25,8,1,5,2,16,2,2,10,10
Snacks & Sides,Small French Fries,2.6 oz (75 g),230,100,11,17,2,8,0,0,0,130,5,30,10,2,10,0,2,0,30,0,4
Snacks & Sides,Medium French Fries,3.9 oz (111 g),340,140,16,24,3,11,0,0,0,190,8,44,15,4,14,0,4,0,45,2,4
Snacks & Sides,Large French Fries,5.9 oz (168 g),510,220,24,37,4,17,0,0,0,290,12,67,22,5,22,0,6,0,70,2,8
Snacks & Sides,Kids French Fries,1.3 oz (38 g),110,50,5,8,1,4,0,0,0,65,3,15,5,1,5,0,1,0,15,0,2
Snacks & Sides,Side Salad,3.1 oz (87 g),20,0,0,0,0,0,0,0,0,10,0,4,1,1,6,2,1,45,25,2,4
Snacks & Sides,Apple Slices,1.2 oz (34 g),15,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,160,2,0
Snacks & Sides,Fruit 'n Yogurt Parfait,5.2 oz (149 g),150,20,2,3,1,5,0,5,2,70,3,30,10,1,3,23,4,2,15,10,4
Desserts,Baked Apple Pie,2.7 oz (77 g),250,110,13,19,7,35,0,0,0,170,7,32,11,4,15,13,2,4,25,2,6
Desserts,Chocolate Chip Cookie,1 cookie (33 g),160,70,8,12,4,19,0,10,3,90,4,21,7,1,3,15,2,2,0,2,8
Desserts,Oatmeal Raisin Cookie,1 cookie (33 g),150,50,6,9,3,13,0,10,3,135,6,22,7,1,3,13,2,2,0,2,6
Desserts,Kids Ice Cream Cone,1 oz (29 g),45,10,2,2,1,4,0,5,2,20,1,7,2,0,0,6,1,2,0,4,0
Desserts,Hot Fudge Sundae,6.3 oz (179 g),330,80,9,14,7,34,0,25,8,170,7,53,18,1,3,48,8,8,0,25,8
Desserts,Hot Caramel Sundae,6.4 oz (182 g),340,70,8,12,5,24,0,30,10,150,6,60,20,0,0,43,7,10,0,25,0
Desserts,Strawberry Sundae,6.3 oz (178 g),280,60,6,10,4,20,0,25,8,85,4,49,16,0,0,45,6,8,4,20,0
